day,pillar,topic,audience,primary_goal,hook,core_lesson_or_demo,bundle_component,format,visual_concept,cta_type,instagram_adaptation,tiktok_adaptation,youtube_shorts_title
1,2 Relatable,"You're not behind, you're just beginning",All beginners,Saves/follows,"You're not behind on AI. You're just beginning.","Permission to start small; you don't have to learn everything",Permission Slip,4 Text-led,Cream text cards reading the permission lines with soft VO,Educational,"Elegant serif cards; caption = permission lines","Spoken warm hook first second; casual","AI for beginners: you're not behind (start here)"
2,3 Demo,Vague vs. improved prompt,All + prompt-anxious,Saves,"If AI gives boring answers, it's the question not you","The 5-part recipe: Role, Task, Audience, Format, Tone",Free/Quick-Start Guide,2 Before/after,Split DON'T/TRY prompt cards then better answer,Educational,"Two prompt cards, ingredients in terracotta","Punchy hook; show chat result","How to write a better AI prompt (for beginners)"
3,1 Education,4 tiny habits that make AI useful,All beginners,Saves,"The whole skill in 4 small habits","Talk like a person; give backstory; ask for a redo; verify",Quick-Start Guide / ai. site,7 Checklist,Numbered list builds one habit per beat,Educational,"Minimal numerals; save CTA","More on-screen captions; keyword first line","4 habits that make AI actually useful (beginner AI tips)"
4,3 Demo,"What's in my fridge? dinner prompt",Parents/busy adults,Shares,"It's 5 o'clock and no one planned dinner","Give AI what you have + time + who for; ask for the easiest",Workbook Day 3,5 Scenario,Kitchen objects/hands B-roll + prompt card,Educational,"Cozy kitchen aesthetic; prompt in caption","First-person relatable VO","Use AI to plan dinner from what's in your fridge"
5,2 Relatable,"I opened ChatGPT and didn't know what to type",Late starters,Comments,"Ever opened AI and just... stared at the box?","One real question from your life is enough to start",Permission Slip / Workbook Day 1,4 Text-led,Blinking cursor in empty box then one typed question,Educational,"Relatable text; comment prompt","Confessional tone; ask a question","What to type in ChatGPT when you're a total beginner"
6,3 Demo,"Ask it to redo, don't start over",Tried-once-quit,Saves,"The first answer is never the final answer","9 follow-ups: shorter, friendlier, give options, ask me first",Workbook p18,1 Screen-record,Same bad answer transformed by follow-ups,Educational,"Screen capture; save CTA","Show the redo live","How to fix a bad AI answer (just ask it to redo)"
7,4 Product,Tour: the interactive prompt builder,All,Profile visits/clicks,"Never know what to type? This builds the prompt for you","The 5-field builder assembles a real prompt + copy",ai. site prompt builder,1 Screen-record,Filling Role/Task/Audience/Format/Tone + copy,Product,"Beautiful cream UI capture; link in bio","Say link in bio + on-screen","AI prompt builder for beginners (no more blank box)"
8,1 Education,The 5-part prompt recipe explained,All,Saves,"Good prompts have 5 tiny parts","Role, Task, Audience, Format, Tone — with one example",Quick-Start Guide / ai. site,2 Before/after,Recipe assembles ingredient by ingredient,Educational,"Clean build animation; save","Keyword-forward caption","The 5-part prompt recipe (AI for beginners)"
9,3 Demo,Decode a scary letter or form,Older adults/grandparents,Saves,"Got a letter full of jargon? AI can translate it","Paste it, ask for plain English + what to do next",Caregivers pack / Labs,5 Scenario,"Mailbox + letter B-roll, prompt card",Educational,"Warm; prompt in caption","Relatable VO; searchable","Use AI to explain a confusing letter in plain English"
10,2 Relatable,Which AI do I even use?,Tool-overwhelmed,Comments,"Too many AI tools? You need exactly one to start",You don't need every tool; pick one and begin,Which AI sheet,4 Text-led,Wall of logos shrinking to one,Educational,"Clean; comment your go-to","Casual overwhelm rant tone","Which AI should a beginner use? (stop overthinking it)"
11,3 Demo,Pick the right tool in 3 questions,Tool-overwhelmed,Clicks,"3 questions to find your AI tool","The tool picker narrows dozens down to one",ai. tool picker,1 Screen-record,3-question wizard → one recommendation,Product,"UI capture; link in bio","Show the result; link in bio","Which AI tool is right for you? (3-question picker)"
12,1 Education,Prompt Doctor: mom's birthday fixed,All,Saves,"'Give me ideas' gets you nothing useful — here's the fix","Add who, real details, budget, and a first step",Workbook p22 (Prompt Doctor),2 Before/after,Vague vs specific birthday prompt,Educational,"Two cards; save","Show better answer","Prompt Doctor: turn a vague prompt into a great one"
13,3 Demo,Parent prompt: the meltdown script,Parents,Shares,"Toddler meltdown in aisle 5? Rehearse it first","AI role-plays a 3-step script before it happens",155 Parents №016,5 Scenario,Grocery B-roll + prompt card,Educational,"Relatable parent hook; share","First-person parent VO","AI for parents: rehearse the tantrum script"
14,5 Safety,Never paste these 5 things into AI,Privacy-worried,Saves/trust,"5 things you should never paste into AI","Passwords, codes, card/bank, IDs, login pages — and why",Workbook Part 6 / Stay Safe,7 Checklist,Red X list building one item per beat,Educational,"Clean checklist; save","More captions; calm not scary","5 things to never type into AI (privacy for beginners)"
15,4 Product,Tour: the fillable workbook,Buyers-considering,Clicks/sales,"An AI workbook that saves as you go","Type answers, check off days, print a certificate",workbook. site,1 Screen-record,"Fill a field, check a day, progress bar, certificate",Product,"Cream UI capture; link in bio","Show saving + certificate","Inside the interactive AI workbook (saves your progress)"
16,3 Demo,Caregiver prompt: decode a medical letter,Caregivers,Saves,"Caring for someone? Let AI translate the paperwork","Plain-English summary + questions to ask (not advice)",Caregivers pack,5 Scenario,Paperwork on table B-roll + prompt card,Educational,"Tender tone; prompt in caption","Relatable sandwich-gen VO","AI for caregivers: understand a medical letter"
17,1 Education,What a hallucination is (and the fix),Accuracy-worried,Saves,"AI can sound confident and still be wrong","What a hallucination is; verify names, numbers, sources",Workbook p51 / glossary,4 Text-led,Confident-but-wrong example + the fix,Educational,"Simple explainer; save","Keyword hook","What is an AI hallucination? (and how to catch it)"
18,3 Demo,The Answer Rescue Kit,Tried-once-quit,Saves,"No AI answer is ever a dead end","25 moves to rescue a weak answer — pick one",Workbook p48,1 Screen-record,Weak answer + 3 rescue moves applied,Educational,"Screen capture; save the list","Show the rescue live","How to rescue a bad AI answer (25 quick fixes)"
19,2 Relatable,"AI will take my job? — a calmer take",Anxious beginners,Comments,"Worried AI will replace you? Let's be honest about it","A person who can ask AI well is the point; start small",FAQ,4 Text-led,Calm text cards; balanced tone,Educational,"Thoughtful; invite comments","Conversational; ask opinion","Will AI take my job? An honest beginner's answer"
20,3 Demo,Turn messy notes into a summary,Working adults,Saves,"Turn a page of messy notes into a clean summary","Paste notes; ask for bullets, decisions, action items",Labs / prompt library,1 Screen-record,Messy notes → structured summary,Educational,"Useful; save","Show transformation","Use AI to summarize messy notes (beginner tutorial)"
21,5 Safety,The PAUSE Check,All,Saves/trust,"Before you trust an AI answer, run PAUSE","Pause, Ask source, Use 2nd source, Strip data, Escalate",Workbook p53 / card,7 Checklist,P-A-U-S-E builds letter by letter,Educational,"Framework card; save","Memorable acronym reveal","The PAUSE check: verify any AI answer in 5 steps"
22,3 Demo,A bedtime story starring your kid,Parents/grandparents,Shares,"Make a bedtime story starring your own kid","Name, interests, a gentle lesson — AI writes it",Prompt library / Parents,5 Scenario,Cozy bedroom B-roll + prompt card,Educational,"Heartwarming; share","Sweet VO; searchable","AI bedtime story starring your child (parent prompt)"
23,1 Education,Give it the backstory,All,Saves,"The #1 fix for bad AI answers: backstory","Tell it who you are, who it's for, what you want",Habit 2 / recipe,2 Before/after,No-context vs with-context answers,Educational,"Two cards; save","Show the difference","Why your AI answers are bad: you skipped the backstory"
24,3 Demo,The 5-minute workbook exercise (Day 1),Beginners,Clicks,"Your first AI win in 5 minutes","Day 1: ask AI to explain something confusing",Workbook Day 1,1 Screen-record,Doing Day 1 on the interactive workbook,Product,"UI capture; link in bio","Show the 5-min task","Your first 5 minutes with AI (workbook Day 1)"
25,2 Relatable,Spot the scam text — 3 red flags,Older adults/all,Shares/trust,"Is this text a scam? Here are the 3 tells","Urgency, secrecy, payment in gift cards; don't click",Workbook p52 / Labs,5 Scenario,Phone with suspicious text + red-flag callouts,Educational,"Protective not fearful; share","Relatable; useful","How to spot a scam text (with a simple AI check)"
26,3 Demo,Rehearse a hard conversation,Caregivers/parents,Saves,"Dreading a hard talk? Rehearse it with AI first","AI role-plays the other person for 5 turns",Caregivers / Labs,1 Screen-record,Role-play chat capture,Educational,"Empathetic; save","Show the role-play","Rehearse a hard conversation with AI (beginner guide)"
27,4 Product,The 7-day starting challenge,Beginners,Clicks,"7 days, one tiny AI task each — that's the whole start","The First Useful Week: 7 guided days",Workbook Part 1,4 Text-led,7-day tracker filling in,Product,"Inviting; link in bio","Say link in bio","The 7-day AI beginner challenge (one task a day)"
28,1 Education,The confidence check,All,Saves,"Measure your own AI confidence — honestly","Rate 6 skills /30 now and again in 30 days",Workbook p6/p66,4 Text-led,Confidence score /30 before/after,Educational,"Honest; save","Keyword hook","Measure your AI confidence in 30 days (no hype)"
29,4 Product,It's more than an ebook,Considering,Clicks/sales,"This isn't an ebook — here's everything that's in it","How workbook + sites + prompt packs fit together",Whole bundle,1 Screen-record,Quick montage of all components,Product,"Premium montage; link in bio","Fast tour; link in bio","What's inside the AI beginner bundle (full tour)"
30,4 Product,Exactly what you get + the 30-day plan,Considering,Sales,"Here's exactly what you get — and the 30-day path","The 4-week Confidence Plan + all included assets",Bundle / Part 8,1 Screen-record,30-day tracker + component checklist,Product,"Clear offer; link in bio","Recap + link in bio","The complete AI beginner bundle explained (30-day plan)"
